"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"18","Penthéréaz","Penthéréaz","Penthéréaz","VD",75.257731959,"Penthéréaz","Penthéréaz","Penthéréaz","VD","VD","VD",75.257731959,75.257731959,75.257731959
"19","Olten","Olten","Olten","SO",75.24098772,"Olten","Olten","Olten","SO","SO","SO",75.24098772,75.24098772,75.24098772
"20","Tujetsch","Tujetsch","Tujetsch","GR",75.079872204,"Tujetsch","Tujetsch","Tujetsch","GR","GR","GR",75.079872204,75.079872204,75.079872204
"21","Lully (VD)","Lully VD","Lully VD","VD",75,"Lully (VD)","Lully VD","Lully VD","VD","VD","VD",75,75,75
"22","Echandens","Echandens","Echandens","VD",74.927675988,"Echandens","Echandens","Echandens","VD","VD","VD",74.927675988,74.927675988,74.927675988
"23","Feldbrunnen-St. Niklaus","Feldbrunnen-St. Niklaus","Feldbrunnen-St. Niklaus","SO",74.878444084,"Feldbrunnen-St. Niklaus","Feldbrunnen-St. Niklaus","Feldbrunnen-St. Niklaus","SO","SO","SO",74.878444084,74.878444084,74.878444084
"24","Montilier","Muntelier","Muntelier","FR",74.632352941,"Montilier","Muntelier","Muntelier","FR","FR","FR",74.632352941,74.632352941,74.632352941
"25","Meyriez","Merlach","Merlach","FR",74.366197183,"Meyriez","Merlach","Merlach","FR","FR","FR",74.366197183,74.366197183,74.366197183
"26","Vinzel","Vinzel","Vinzel","VD",74.233128834,"Vinzel","Vinzel","Vinzel","VD","VD","VD",74.233128834,74.233128834,74.233128834
"27","Pully","Pully","Pully","VD",74.187858298,"Pully","Pully","Pully","VD","VD","VD",74.187858298,74.187858298,74.187858298
"28","Sorengo","Sorengo","Sorengo","TI",73.970588235,"Sorengo","Sorengo","Sorengo","TI","TI","TI",73.970588235,73.970588235,73.970588235
"29","Zumikon","Zumikon","Zumikon","ZH",73.955486138,"Zumikon","Zumikon","Zumikon","ZH","ZH","ZH",73.955486138,73.955486138,73.955486138
"30","Bürchen","Bürchen","Bürchen","VS",73.903002309,"Bürchen","Bürchen","Bürchen","VS","VS","VS",73.903002309,73.903002309,73.903002309
"31","Aarau","Aarau","Aarau","AG",73.858095333,"Aarau","Aarau","Aarau","AG","AG","AG",73.858095333,73.858095333,73.858095333
"32","Epalinges","Epalinges","Epalinges","VD",73.727198475,"Epalinges","Epalinges","Epalinges","VD","VD","VD",73.727198475,73.727198475,73.727198475
"33","Erlenbach (ZH)","Erlenbach ZH","Erlenbach ZH","ZH",73.602484472,"Erlenbach (ZH)","Erlenbach ZH","Erlenbach ZH","ZH","ZH","ZH",73.602484472,73.602484472,73.602484472
"34","Uitikon","Uitikon","Uitikon","ZH",73.564154786,"Uitikon","Uitikon","Uitikon","ZH","ZH","ZH",73.564154786,73.564154786,73.564154786
"35","Ferden","Ferden","Ferden","VS",73.509933775,"Ferden","Ferden","Ferden","VS","VS","VS",73.509933775,73.509933775,73.509933775
"36","Biberstein","Biberstein","Biberstein","AG",73.420479303,"Biberstein","Biberstein","Biberstein","AG","AG","AG",73.420479303,73.420479303,73.420479303
"37","Wettswil am Albis","Wettswil am Albis","Wettswil am Albis","ZH",73.391042529,"Wettswil am Albis","Wettswil am Albis","Wettswil am Albis","ZH","ZH","ZH",73.391042529,73.391042529,73.391042529
"38","Oberrieden","Oberrieden","Oberrieden","ZH",73.11827957,"Oberrieden","Oberrieden","Oberrieden","ZH","ZH","ZH",73.11827957,73.11827957,73.11827957
"39","Dully","Dully","Dully","VD",73.106060606,"Dully","Dully","Dully","VD","VD","VD",73.106060606,73.106060606,73.106060606
"40","Denges","Denges","Denges","VD",73.052959502,"Denges","Denges","Denges","VD","VD","VD",73.052959502,73.052959502,73.052959502
"41","Tannay","Tannay","Tannay","VD",73.043478261,"Tannay","Tannay","Tannay","VD","VD","VD",73.043478261,73.043478261,73.043478261
"42","Herrliberg","Herrliberg","Herrliberg","ZH",72.886662492,"Herrliberg","Herrliberg","Herrliberg","ZH","ZH","ZH",72.886662492,72.886662492,72.886662492
"43","Starrkirch-Wil","Starrkirch-Wil","Starrkirch-Wil","SO",72.875816993,"Starrkirch-Wil","Starrkirch-Wil","Starrkirch-Wil","SO","SO","SO",72.875816993,72.875816993,72.875816993
"44","Saint-Blaise","Saint-Blaise","Saint-Blaise","NE",72.848145556,"Saint-Blaise","Saint-Blaise","Saint-Blaise","NE","NE","NE",72.848145556,72.848145556,72.848145556
"45","Pierrafortscha","Pierrafortscha","Pierrafortscha","FR",72.839506173,"Pierrafortscha","Pierrafortscha","Pierrafortscha","FR","FR","FR",72.839506173,72.839506173,72.839506173
"46","Meilen","Meilen","Meilen","ZH",72.732769045,"Meilen","Meilen","Meilen","ZH","ZH","ZH",72.732769045,72.732769045,72.732769045
"47","Bogis-Bossey","Bogis-Bossey","Bogis-Bossey","VD",72.727272727,"Bogis-Bossey","Bogis-Bossey","Bogis-Bossey","VD","VD","VD",72.727272727,72.727272727,72.727272727
"48","Mies","Mies","Mies","VD",72.666666667,"Mies","Mies","Mies","VD","VD","VD",72.666666667,72.666666667,72.666666667
"49","Saint-Sulpice (VD)","Saint-Sulpice VD","Saint-Sulpice VD","VD",72.586090479,"Saint-Sulpice (VD)","Saint-Sulpice VD","Saint-Sulpice VD","VD","VD","VD",72.586090479,72.586090479,72.586090479
"50","Kilchberg (ZH)","Kilchberg ZH","Kilchberg ZH","ZH",72.534059946,"Kilchberg (ZH)","Kilchberg ZH","Kilchberg ZH","ZH","ZH","ZH",72.534059946,72.534059946,72.534059946
